id,BC,FF,Rs,Rsh,VOC,jsc
258,Cu,27.74374694,33781.4809,438615.8201,100.838817,11.2822
259,Cu,46.25475393,26495.20278,2299683.224,176.067153,17.3000
260,Cu,43.47182125,81306.08133,2628024.41,321.178557,11.7000
261,Cu,41.2628066,114895.7664,2515971.52,359.30638,11.1000
262,Cu,37.41367291,225440.444,2174383.466,385.28068,11.1000
263,Cu,35.03410347,278596.0027,1998804.454,389.913155,11.5000
264,Cu,33.94081207,270028.2113,1864133.788,395.860602,12.1000
265,Cu,32.70328762,237831.6378,1735040.043,353.450013,11.6000
266,Cu,34.63817419,196603.2898,1950767.055,384.88135,11.4000
267,Cu,33.42761596,236244.9311,2036495.328,369.333936,10.1000
268,Cu,29.78683205,471933.2944,2066116.992,349.415055,8.0100
269,Cu,26.92648509,792145.8797,1709601.585,272.169439,7.0700
270,Cu,29.22037947,153258.4783,897063.6693,158.72283,9.5100
271,Cu,43.99508265,46128.49565,2913098.257,159.424364,13.2000
272,Cu,44.17784331,36016.82468,2190610.132,176.733712,18.4598
273,Cu,47.51403347,16383.65557,2933388.839,315.517769,12.1000
274,Cu,42.07240137,56110.55847,2454523.15,357.682473,11.6000
275,Cu,38.00023096,221805.7401,2315703.831,389.463002,11.3901
276,Cu,37.13425529,215102.6216,2104599.79,399.780281,12.1000
277,Cu,36.60775072,109596.7991,1939263.706,391.991839,12.6000
278,Cu,27.73710986,132153.9097,1012015.264,270.975572,12.2000
279,Cu,34.79812735,245877.0564,1981497.669,378.201743,11.4000
280,Cu,37.19752241,288053.7092,2327200.968,374.487735,10.9000
281,Cu,36.57925199,307556.1388,2561059.021,350.553548,9.4400
282,Cu,39.08132409,266825.1869,3116583.13,339.020835,10.2000
283,Cu,36.53303145,113344.9636,2083145.966,222.537922,12.9000
284,Cu,45.63483895,26466.14827,3384882.296,163.833816,12.5000
285,Cu,46.75627773,16495.30675,2628885.935,165.413248,17.4000
286,Cu,49.55503927,12076.74633,3093934.172,259.698796,13.0000
287,Cu,45.29307399,26563.39938,2834447.576,348.183962,11.5000
288,Cu,40.07081546,84283.94171,2299132.216,376.943135,11.4000
289,Cu,40.28035041,106400.58,2449333.76,399.011183,11.4000
290,Cu,38.67370862,128019.1098,2133813.733,401.784888,12.3000
291,Cu,39.32140195,94989.33013,2160259.313,396.804536,12.4000
292,Cu,36.25347122,390638.1187,2374599.39,390.433602,10.7000
293,Cu,37.1737154,195829.078,2480167.389,367.418908,10.6000
294,Cu,33.52618449,402763.1603,2170359.068,313.830301,9.9400
295,Cu,31.60350276,373494.3615,1910908.853,285.578383,9.3100
296,Cu,47.56401561,17451.87512,3092950.356,147.317647,14.3000
297,Cu,48.31674464,7078.578745,2765307.592,160.42584,16.2508
298,Cu,49.45847904,12090.41678,2624258.941,187.995212,19.3000
299,Cu,30.28749273,20273.41789,1063884.128,224.433116,10.9000
300,Cu,41.60446495,163288.9915,2766625.087,388.491787,10.8000
301,Cu,41.91581608,114149.9582,2600268.282,380.969162,11.1000
302,Cu,41.78613583,126732.0394,2714506.474,376.9567,10.7000
303,Cu,25.8157175,76177.74602,534450.2845,135.666553,10.8000
304,Cu,33.23741606,421679.6261,2382572.472,303.928075,10.3000
305,Cu,34.51617343,371772.9225,2869604.568,333.719876,9.8600
306,Cu,25.91670573,423223.2795,1044295.284,199.613274,8.5000
307,Cu,40.72884752,37081.53821,1536749.545,162.351754,14.8000
308,Cu,26.78445776,7455.683379,261148.0638,88.7,15.1000
309,Cu,48.76341877,6650.515531,3010893.444,156.990302,16.6000
310,Cu,46.23840757,27247.12418,2507724.761,175.553219,18.9000
311,Cu,26.0989438,27086.0245,255697.1236,87.4,15.5000
312,Cu,46.06511374,47327.27057,3111249.484,332.103522,10.5906
313,Cu,35.45934703,69988.96138,1983644.166,325.412955,9.9600
314,Cu,38.65094659,284181.9199,3044357.347,368.047359,9.7500
315,Cu,27.6207767,397033.4265,1675561.598,279.92283,9.7800
316,Cu,30.19375186,92815.62489,850620.7944,173.446923,14.0000
317,Cu,47.18441415,19903.80142,2988837.322,162.24416,15.9000
318,Cu,24.08368705,13225.69699,136827.6242,52.8,15.7000
319,Cu,41.90878274,47311.07537,1953055.888,172.974456,19.5000
320,Cu,35.69715817,91399.13052,1235390.567,191.576495,22.9000
321,Cu,30.85739046,61944.23626,587800.1018,162.932354,16.1000
322,Cu,43.12116719,103110.4803,3006385.423,284.845625,11.2000
323,Cu,26.96020497,153649.4707,757562.1611,205.30477,16.0000
324,Cu,41.70848748,35588.88442,2094648.154,161.778754,14.5000
325,Cu,44.8819068,11127.23885,1789176.817,200.994741,14.0000
326,Cu,48.47062801,6567.242835,3183663.456,155.994496,16.2000
327,Cu,34.34361119,18764.61857,484787.985,142.227243,19.7000
328,Cu,43.11771496,28991.47746,1479935.606,175.219393,20.7000
329,Cu,34.32453426,106674.3818,1054114.422,189.840332,21.4000
330,Cu,42.96656889,45314.40561,1636531.668,193.862539,25.3000
331,Cu,33.41715815,17024.61328,391675.3162,150.882498,25.7187
332,Cu,34.36036142,91689.05846,1183204.961,187.589643,18.8000
333,Cu,32.24797446,106751.2544,1175725.15,179.563814,14.9000
334,Cu,31.92055543,81045.50831,1006880.339,170.495164,14.5000
335,Cu,42.24564683,36666.4837,2272861.032,162.794327,14.6000
336,Cu,41.17144919,38152.63728,1981883.79,163.164645,16.0000
337,Cu,51.99207921,10818.38475,3520487.229,232.174933,13.9000
338,Cu,46.90780225,18478.21554,2411085.175,160.143512,17.8000
339,Cu,43.609343,32932.16958,1980385.85,174.634339,21.8000
340,Cu,37.87016332,76676.40587,1500195.949,181.787575,21.4000
341,Cu,39.57597203,55160.28292,1538841.014,184.530254,22.6000
342,Cu,40.27439302,54853.32389,1512860.49,187.766567,25.0000
343,Cu,26.14958458,18240.13958,142531.6766,85,24.3000
344,Cu,41.71548773,41537.9572,1862249.855,180.988553,19.9000
345,Cu,31.62315896,97181.56945,1028221.416,176.757301,16.2949
346,Cu,27.5119649,142992.3961,781339.7295,173.128808,13.6000
347,Cu,36.42990858,49165.3475,1195300.17,169.713493,14.2000
348,Cu,34.24308723,46735.55249,946313.407,160.952568,15.6000
349,Cu,43.13400251,29330.77803,2324281.358,146.684153,15.6000
350,Cu,48.89485946,9225.98755,3118111.809,272.34149,13.9000
351,Cu,30.70012214,30555.88211,325468.1534,140.458971,23.3000
352,Cu,46.60103718,21783.53531,1991475.652,187.971978,25.1997
353,Cu,43.16179494,38986.04401,1742881.505,191.543173,24.8000
354,Cu,41.38549483,48714.54112,1678867.526,192.464616,24.3000
355,Cu,34.51163156,85997.9323,1048577.024,187.877566,22.7000
356,Cu,30.33375418,98631.32787,839526.3881,180.937207,19.0000
357,Cu,31.64052029,97551.80974,871238.3784,179.454888,17.6000
358,Cu,34.06210494,60013.62269,1132431.944,173.497203,17.6000
359,Cu,34.55964902,51957.88921,1047773.468,174.570533,17.6254
360,Cu,32.45083905,62581.3427,941437.2115,183.321584,17.2000
361,Cu,42.51461968,31800.28669,1866983.519,188.983687,20.1000
362,Cu,50.24102355,20169.95668,2660872.789,209.233686,20.0000
363,Cu,49.18181484,29833.94338,2976407.847,291.090575,15.7000
364,Cu,49.4195634,51129.10154,3235137.168,252.84413,19.3000
365,Cu,40.60940706,66123.02515,1877682.32,228.399324,23.7000
366,Cu,40.709895,49869.08128,1487575.091,213.670793,27.9000
367,Cu,41.68721776,45932.74469,1380101.926,199.037614,28.6466
368,Cu,34.25989772,82039.75426,951046.6131,197.757793,26.0000
369,Cu,27.25776738,79699.69075,338767.0055,132.851533,21.1000
370,Cu,31.35384488,74995.2209,785474.0169,186.102399,21.6000
371,Cu,29.89099032,75373.50399,702471.991,182.551653,19.1000
372,Cu,40.66761888,26968.87106,1381999.784,180.422297,24.6000
373,Cu,43.75287092,27611.23954,1789384.302,208.661422,24.0000
374,Cu,44.33713783,46185.47373,2192592.141,238.123623,21.6000
375,Cu,46.71814148,33529.46073,2070242.427,209.965203,23.9000
376,Cu,28.50954314,44031.74775,726758.2382,219.886619,14.2153
377,Cu,48.79162458,61040.17546,3045978.972,291.23226,20.0167
378,Cu,27.10269073,123213.541,464840.2908,207.321669,26.5000
379,Cu,34.8308614,44334.24328,731806.1451,205.514889,29.2000
380,Cu,40.08707853,45068.68343,1108355.23,195.406293,31.4000
381,Cu,41.69963718,27371.26941,1091797.271,192.517284,32.4000
382,Cu,34.83676383,46598.33693,723290.4588,192.028975,18.8886
383,Cu,42.30152279,107913.6339,2178512.594,315.081852,19.6000
384,Cu,49.05761001,10225.62028,1945917.664,257.258484,24.6000
385,Cu,36.57536569,58770.2692,1687661.141,284.061831,12.3000
386,Cu,36.68601324,44698.30837,782586.9632,188.877932,21.9598
387,Cu,48.44177659,69713.80919,2728917.765,314.540925,22.9000
388,Cu,40.82417652,93334.61091,1850640.555,267.112098,32.3000
389,Cu,39.70603058,85389.47923,1448298.752,259.333488,32.1000
390,Cu,35.35998808,21721.72569,506254.0797,208.622987,28.4000
391,Cu,43.43230658,70706.91076,2183498.706,272.048433,27.6000
392,Cu,38.79506453,23225.04932,620701.0443,200.261844,39.7000
393,Cu,44.55396517,31225.4811,2091548.946,206.927777,24.7000
394,Cu,43.9929557,71598.41674,1906060.285,270.840764,21.0528
395,Cu,45.02044795,85432.10419,2319915.527,313.093885,24.0000
396,Cu,42.6028154,107232.6194,2134369.801,338.159369,21.5000
397,Cu,0.11704223,74366.2632,71764.2789,20,11.1000
