id,BC,FF,Rs,Rsh,VOC,jsc
491,Ni,25.23775845,719322.5408,2860237.138,303.371707,5.2800
492,Ni,29.56712331,343289.0068,3003976.073,286.767029,6.3300
493,Ni,50.50733557,65521.47203,6844897.045,347.112213,7.4800
494,Ni,46.98434154,43823.38975,5180874.307,334.7383,7.3500
495,Ni,48.44891836,64621.05363,6593866.643,335.838808,7.0900
496,Ni,43.69605408,117379.4498,5787112.702,315.229834,6.9500
497,Ni,44.21130053,114548.7329,6084402.995,345.778565,6.7600
498,Ni,43.74970652,222766.2844,6467494.044,353.25871,6.4200
499,Ni,42.93618948,218905.3345,6096727.545,352.670359,6.6700
500,Ni,40.21686955,266600.7831,5802721.941,348.885257,6.6000
501,Ni,28.62792292,504510.5667,3542555.827,322.12651,5.9300
502,Ni,28.40592501,460563.1951,3301145.519,318.054353,6.2400
503,Ni,31.47688847,337484.3018,2848236.325,277.158479,7.4000
504,Ni,51.96311166,11763.3569,4876204.856,296.205419,10.2000
505,Ni,53.10298457,15758.61269,5852872.828,327.126864,8.9400
506,Ni,51.36116899,45075.63371,6224778.907,340.998684,8.3400
507,Ni,47.72371626,84407.7206,5748707.085,345.774443,7.6600
508,Ni,22.54839948,77324.57415,327740.0952,60.3,7.2700
509,Ni,35.68175265,149878.0028,2795500.531,295.905521,7.3300
510,Ni,42.39287636,236710.6887,5673366.838,344.116521,6.8900
511,Ni,43.0774882,193728.0338,5813864.955,346.3226,7.0900
512,Ni,34.5379276,337018.2689,4584693.749,333.711215,6.8300
513,Ni,38.10541686,269555.2748,4879509.971,341.422767,7.4200
514,Ni,38.18764046,191365.219,4536961.31,335.437212,7.7100
515,Ni,28.0843006,527844.9942,2726927.496,301.992362,6.8100
516,Ni,48.97511168,16139.81055,4283776.746,300.808826,10.8225
517,Ni,50.57604843,16448.23814,5104059.48,321.604313,9.7900
518,Ni,51.78752718,20736.14951,5330855.999,332.441662,9.2800
519,Ni,46.81117449,101677.0967,4957380.719,289.699971,9.2900
520,Ni,45.96280018,159278.9341,5554553.054,319.046441,8.1500
521,Ni,35.54355658,606756.3205,1627933.432,313.573457,7.2100
522,Ni,42.75290334,171963.6268,4935781.919,320.554454,7.5900
523,Ni,40.0718518,284957.4017,5092493.151,323.72221,7.5000
524,Ni,40.47581561,254553.2586,5305076.994,329.047532,7.3700
525,Ni,35.92536685,291783.2203,4622558.334,330.452868,7.2700
526,Ni,36.01565896,248073.448,4063644.262,325.068752,7.6000
527,Ni,26.73623737,586064.2533,2604175.332,311.573006,6.3800
528,Ni,36.92667148,194196.8863,3649206.691,309.241614,8.5500
529,Ni,48.32477836,24938.32193,4633848.404,301.244719,9.8600
530,Ni,44.71372124,68402.7852,4353321.783,226.38237,9.7700
531,Ni,45.80458808,121360.8166,5045917.65,301.462712,8.5700
532,Ni,25.35789969,74795.10497,344689.0106,69.4,8.0700
533,Ni,44.77640646,171037.6021,5286202.786,321.868332,8.2100
534,Ni,38.68499435,256201.2531,4433986.701,306.770977,7.8000
535,Ni,31.79158001,345726.514,3028232.407,284.450742,7.0500
536,Ni,28.96167529,534289.7119,2870917.083,302.373188,7.1100
537,Ni,30.30904857,412847.2976,3132620.812,299.504514,7.2100
538,Ni,30.90785375,439476.2481,2820188.431,297.973289,7.5900
539,Ni,43.22740115,23739.08297,3381446.042,273.7503,9.4100
540,Ni,44.17792312,6484.942344,2187530.218,133.071117,12.7000
541,Ni,41.13910667,17390.05283,2049942.744,137.755505,11.4046
542,Ni,42.59334282,54371.48784,3133571.049,204.743246,10.2000
543,Ni,41.66735317,54465.60498,2764744.266,210.453933,10.0000
544,Ni,42.99725557,95373.92566,4375537.694,266.069721,8.7700
545,Ni,28.38563045,484276.0064,2577342.547,282.04132,6.6600
546,Ni,32.16779021,296946.7978,2922597.47,270.941295,7.6000
547,Ni,25.67557671,94206.71899,369702.9434,70.5,7.7500
548,Ni,30.56286183,355756.9706,2767568.476,280.508226,8.2500
549,Ni,26.73217275,32040.02948,403602.8201,81.7,8.7200
